Year,Single-Year Ages Code,Sex Code,Deaths,Population,qx,px,lx,dx,Lx,Tx,ex,Cumulative Survival
2015,20,F,866,2123067,0.000408,0.999592,100000,40.80,99979.6,5835200.547,58.35200547,1
2015,21,F,993,2166784,0.000458,0.999542,99959.20995,45.78,99936.31929,5735220.947,57.37561301,0.9995921
2015,22,F,1021,2197776,0.000465,0.999535,99913.40036,46.46,99890.17049,5635284.627,56.40168994,0.999134004
2015,23,F,1088,2264424,0.00048,0.99952,99866.98454,47.94,99843.01646,5535394.457,55.42767194,0.998669845
2015,24,F,1181,2319408,0.000509,0.999491,99819.00091,50.81,99793.59697,5435551.441,54.45407579,0.998190009
2015,25,F,1285,2322049,0.000553,0.999447,99768.17491,55.17,99740.58901,5335757.844,53.48156212,0.997681749
2015,26,F,1260,2233433,0.000564,0.999436,99712.96414,56.24,99684.84508,5236017.255,52.51089765,0.997129641
2015,27,F,1327,2185163,0.000607,0.999393,99656.71068,60.49,99626.46487,5136332.409,51.54025629,0.996567107
2015,28,F,1386,2149931,0.000645,0.999355,99596.19142,64.24,99564.07165,5036705.945,50.57127058,0.995961914
2015,29,F,1467,2161579,0.000679,0.999321,99531.98455,67.58,99498.19344,4937141.873,49.60357111,0.995319846
2015,30,F,1601,2185746,0.000732,0.999268,99464.43513,72.81,99428.03115,4837643.68,48.63691905,0.994644351
2015,31,F,1641,2125468,0.000772,0.999228,99391.58011,76.73,99353.21496,4738215.648,47.67220365,0.993915801
2015,32,F,1848,2162451,0.000855,0.999145,99314.84333,84.91,99272.38623,4638862.433,46.70865178,0.993148433
2015,33,F,1926,2166123,0.000889,0.999111,99229.97027,88.22,99185.86255,4539590.047,45.74817502,0.992299703
2015,34,F,1995,2146121,0.00093,0.99907,99141.74032,92.20,99095.63941,4440404.185,44.78844299,0.991417403
2015,35,F,2064,2180134,0.000947,0.999053,99049.57973,93.80,99002.67975,4341308.545,43.82965134,0.990495797
2015,36,F,2243,2055478,0.001091,0.998909,98955.80644,107.96,98901.82605,4242305.865,42.87071187,0.989558064
2015,37,F,2206,2017940,0.001093,0.998907,98847.82286,108.04,98793.80252,4143404.039,41.91699847,0.988478229
2015,38,F,2387,2003325,0.001192,0.998808,98739.76301,117.70,98680.91411,4044610.237,40.96232474,0.98739763
2015,39,F,2327,1944284,0.001197,0.998803,98622.1127,118.05,98563.08737,3945929.323,40.01059412,0.986221127
2015,40,F,2602,2000626,0.001301,0.998699,98504.07765,128.15,98440.00075,3847366.235,39.05793879,0.985040777
2015,41,F,2833,1946164,0.001456,0.998544,98375.96394,143.24,98304.34624,3748926.235,38.10815248,0.983759639
2015,42,F,3182,1981947,0.001605,0.998395,98232.75962,157.66,98153.92783,3650621.888,37.16297804,0.982327596
2015,43,F,3488,2068346,0.001686,0.998314,98075.04771,165.35,97992.37044,3552467.961,36.22193456,0.980750477
2015,44,F,4086,2187962,0.001867,0.998133,97909.65673,182.80,97818.25807,3454475.59,35.2822766,0.979096567
2015,45,F,4386,2206861,0.001987,0.998013,97726.8113,194.18,97629.71971,3356657.332,34.34735348,0.977268113
2015,46,F,4655,2095675,0.002221,0.997779,97532.58529,216.62,97424.27535,3259027.612,33.41475675,0.975325853
2015,47,F,4891,2054083,0.002381,0.997619,97315.94188,231.71,97200.08725,3161603.337,32.488031,0.973159419
2015,48,F,5534,2062616,0.002683,0.997317,97084.2218,260.48,96953.98332,3064403.25,31.5643798,0.970842218
2015,49,F,6104,2099680,0.002907,0.997093,96823.74478,281.47,96683.01147,2967449.266,30.64794977,0.968237448
2015,50,F,7051,2227286,0.003166,0.996834,96542.26753,305.65,96389.44112,2870766.255,29.73584864,0.965422675
2015,51,F,7852,2276939,0.003448,0.996552,96236.64018,331.82,96070.72821,2774376.814,28.82869569,0.962366402
2015,52,F,8731,2279256,0.003831,0.996169,95904.76915,367.41,95721.06356,2678306.086,27.9267247,0.959047692
2015,53,F,9482,2277046,0.004164,0.995836,95537.39289,397.82,95338.48404,2582585.022,27.03219068,0.955373929
