Notes,Year,Year Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2015,2015,< 1 year,0,Female,F,10447,1942904,537.7
,2015,2015,< 1 year,0,Male,M,13008,2035134,639.172
Total,2015,2015,< 1 year,0,,,23455,3978038,589.612
,2015,2015,1 year,1,Female,F,678,1939269,34.962
,2015,2015,1 year,1,Male,M,913,2029295,44.991
Total,2015,2015,1 year,1,,,1591,3968564,40.09
,2015,2015,2 years,2,Female,F,442,1939979,22.784
,2015,2015,2 years,2,Male,M,565,2026604,27.879
Total,2015,2015,2 years,2,,,1007,3966583,25.387
,2015,2015,3 years,3,Female,F,316,1943417,16.26
,2015,2015,3 years,3,Male,M,462,2030644,22.751
Total,2015,2015,3 years,3,,,778,3974061,19.577
,2015,2015,4 years,4,Female,F,248,1964111,12.627
,2015,2015,4 years,4,Male,M,341,2055924,16.586
Total,2015,2015,4 years,4,,,589,4020035,14.652
,2015,2015,5 years,5,Female,F,222,1967310,11.284
,2015,2015,5 years,5,Male,M,321,2050848,15.652
Total,2015,2015,5 years,5,,,543,4018158,13.514
,2015,2015,6 years,6,Female,F,233,1968544,11.836
,2015,2015,6 years,6,Male,M,283,2050663,13.8
Total,2015,2015,6 years,6,,,516,4019207,12.838
,2015,2015,7 years,7,Female,F,207,2031242,10.191
,2015,2015,7 years,7,Male,M,241,2117118,11.383
Total,2015,2015,7 years,7,,,448,4148360,10.799
,2015,2015,8 years,8,Female,F,195,2039062,9.563
,2015,2015,8 years,8,Male,M,269,2128825,12.636
Total,2015,2015,8 years,8,,,464,4167887,11.133
,2015,2015,9 years,9,Female,F,168,2021886,8.309
,2015,2015,9 years,9,Male,M,263,2111678,12.455
Total,2015,2015,9 years,9,,,431,4133564,10.427
,2015,2015,10 years,10,Female,F,167,2017346,8.278
,2015,2015,10 years,10,Male,M,274,2103943,13.023
Total,2015,2015,10 years,10,,,441,4121289,10.701
,2015,2015,11 years,11,Female,F,198,2023586,9.785
,2015,2015,11 years,11,Male,M,266,2106742,12.626
Total,2015,2015,11 years,11,,,464,4130328,11.234
,2015,2015,12 years,12,Female,F,225,2010241,11.193
,2015,2015,12 years,12,Male,M,293,2090780,14.014
Total,2015,2015,12 years,12,,,518,4101021,12.631
,2015,2015,13 years,13,Female,F,291,2001602,14.538
,2015,2015,13 years,13,Male,M,394,2082704,18.918
Total,2015,2015,13 years,13,,,685,4084306,16.772
,2015,2015,14 years,14,Female,F,352,2049167,17.178
,2015,2015,14 years,14,Male,M,549,2136219,25.7
Total,2015,2015,14 years,14,,,901,4185386,21.527
,2015,2015,15 years,15,Female,F,368,2076753,17.72
,2015,2015,15 years,15,Male,M,723,2172989,33.272
Total,2015,2015,15 years,15,,,1091,4249742,25.672
,2015,2015,16 years,16,Female,F,486,2045025,23.765
,2015,2015,16 years,16,Male,M,988,2139271,46.184
Total,2015,2015,16 years,16,,,1474,4184296,35.227
,2015,2015,17 years,17,Female,F,569,2049112,27.768
,2015,2015,17 years,17,Male,M,1409,2145174,65.682
Total,2015,2015,17 years,17,,,1978,4194286,47.159
,2015,2015,18 years,18,Female,F,743,2061954,36.034
,2015,2015,18 years,18,Male,M,1841,2156041,85.388
Total,2015,2015,18 years,18,,,2584,4217995,61.261
,2015,2015,19 years,19,Female,F,833,2078192,40.083
,2015,2015,19 years,19,Male,M,2226,2184392,101.905
Total,2015,2015,19 years,19,,,3059,4262584,71.764
,2015,2015,20 years,20,Female,F,866,2123067,40.79
,2015,2015,20 years,20,Male,M,2500,2240373,111.589
Total,2015,2015,20 years,20,,,3366,4363440,77.141
,2015,2015,21 years,21,Female,F,993,2166784,45.828
,2015,2015,21 years,21,Male,M,2851,2290006,124.497
Total,2015,2015,21 years,21,,,3844,4456790,86.25
,2015,2015,22 years,22,Female,F,1021,2197776,46.456
,2015,2015,22 years,22,Male,M,3134,2331696,134.409
Total,2015,2015,22 years,22,,,4155,4529472,91.733
,2015,2015,23 years,23,Female,F,1088,2264424,48.048
,2015,2015,23 years,23,Male,M,3251,2387842,136.148
Total,2015,2015,23 years,23,,,4339,4652266,93.266
,2015,2015,24 years,24,Female,F,1181,2319408,50.918
,2015,2015,24 years,24,Male,M,3423,2417937,141.567
Total,2015,2015,24 years,24,,,4604,4737345,97.185
,2015,2015,25 years,25,Female,F,1285,2322049,55.339
,2015,2015,25 years,25,Male,M,3471,2407515,144.174
