Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
1999.0,0,F,12291,1852123
1999.0,0,M,15646,1943639
1999.0,0,T,27937,3795762
1999.0,1,F,886,1849170
1999.0,1,M,1103,1935918
1999.0,1,T,1989,3785088
1999.0,2,F,579,1849556
1999.0,2,M,797,1933079
1999.0,2,T,1376,3782635
1999.0,3,F,445,1868553
1999.0,3,M,601,1956253
1999.0,3,T,1046,3824806
1999.0,4,F,364,1926335
1999.0,4,M,474,2020918
1999.0,4,T,838,3947253
1999.0,5,F,317,1950892
1999.0,5,M,446,2048870
1999.0,5,T,763,3999762
1999.0,6,F,312,1970698
1999.0,6,M,384,2071922
1999.0,6,T,696,4042620
1999.0,7,F,297,2034495
1999.0,7,M,386,2128808
1999.0,7,T,683,4163303
1999.0,8,F,303,2034953
1999.0,8,M,389,2135753
1999.0,8,T,692,4170706
1999.0,9,F,281,2061580
1999.0,9,M,359,2168489
1999.0,9,T,640,4230069
1999.0,10,F,293,2021562
1999.0,10,M,394,2127091
1999.0,10,T,687,4148653
1999.0,11,F,296,1969839
1999.0,11,M,415,2066343
1999.0,11,T,711,4036182
1999.0,12,F,303,1956197
1999.0,12,M,414,2053713
1999.0,12,T,717,4009910
1999.0,13,F,296,1952202
1999.0,13,M,551,2051405
1999.0,13,T,847,4003607
1999.0,14,F,405,1955864
1999.0,14,M,754,2059148
1999.0,14,T,1159,4015012
1999.0,15,F,512,1913334
1999.0,15,M,997,2025818
1999.0,15,T,1509,3939152
1999.0,16,F,784,1948049
1999.0,16,M,1570,2072256
1999.0,16,T,2354,4020305
1999.0,17,F,892,1947136
1999.0,17,M,2012,2084088
1999.0,17,T,2904,4031224
1999.0,18,F,904,1942583
1999.0,18,M,2500,2047260
1999.0,18,T,3404,3989843
1999.0,19,F,906,2010467
1999.0,19,M,2701,2093611
1999.0,19,T,3607,4104078
1999.0,20,F,885,1915294
1999.0,20,M,2616,2010201
1999.0,20,T,3501,3925495
1999.0,21,F,860,1838440
1999.0,21,M,2678,1924961
1999.0,21,T,3538,3763401
1999.0,22,F,832,1807150
1999.0,22,M,2541,1887040
1999.0,22,T,3373,3694190
1999.0,23,F,827,1744637
1999.0,23,M,2461,1817832
1999.0,23,T,3288,3562469
1999.0,24,F,840,1793094
1999.0,24,M,2338,1852780
1999.0,24,T,3178,3645874
1999.0,25,F,884,1800091
1999.0,25,M,2253,1857316
1999.0,25,T,3137,3657407
1999.0,26,F,909,1814511
1999.0,26,M,2368,1851717
1999.0,26,T,3277,3666228
1999.0,27,F,1037,1949822
1999.0,27,M,2512,1985242
1999.0,27,T,3549,3935064
1999.0,28,F,1120,2060374
1999.0,28,M,2642,2086110
1999.0,28,T,3762,4146484
1999.0,29,F,1211,2071169
1999.0,29,M,2767,2098705
1999.0,29,T,3978,4169874
1999.0,30,F,1295,2064871
1999.0,30,M,2710,2116341
1999.0,30,T,4005,4181212
1999.0,31,F,1356,1957054
1999.0,31,M,2828,1979133
1999.0,31,T,4184,3936187
1999.0,32,F,1486,2014551
1999.0,32,M,3113,2029406
1999.0,32,T,4599,4043957
1999.0,33,F,1634,2036474
1999.0,33,M,3331,2043243
1999.0,33,T,4965,4079717
1999.0,34,F,1858,2176173
1999.0,34,M,3752,2186103
1999.0,34,T,5610,4362276
1999.0,35,F,2110,2293916
1999.0,35,M,4165,2311702
1999.0,35,T,6275,4605618
1999.0,36,F,2379,2281275
1999.0,36,M,4288,2262286
1999.0,36,T,6667,4543561
1999.0,37,F,2592,2298941
1999.0,37,M,4714,2283851
1999.0,37,T,7306,4582792
1999.0,38,F,2928,2276449
1999.0,38,M,5113,2253560
1999.0,38,T,8041,4530009
1999.0,39,F,3114,2323573
1999.0,39,M,5401,2296996
1999.0,39,T,8515,4620569
1999.0,40,F,3256,2341168
1999.0,40,M,5780,2326357
1999.0,40,T,9036,4667525
1999.0,41,F,3537,2250723
1999.0,41,M,6270,2211175
1999.0,41,T,9807,4461898
1999.0,42,F,3827,2271051
1999.0,42,M,6646,2235880
1999.0,42,T,10473,4506931
1999.0,43,F,4029,2179527
1999.0,43,M,7183,2118325
1999.0,43,T,11212,4297852
1999.0,44,F,4366,2152981
1999.0,44,M,7558,2106941
1999.0,44,T,11924,4259922
1999.0,45,F,4568,2146028
1999.0,45,M,7839,2099854
1999.0,45,T,12407,4245882
1999.0,46,F,4714,2031823
1999.0,46,M,8392,1963127
1999.0,46,T,13106,3994950
1999.0,47,F,4905,2002180
1999.0,47,M,8645,1934967
1999.0,47,T,13550,3937147
