Year Code,Age Group,Sex Code,Deaths,Population
1968.0,< 1 year,F,32237,1705238
1968.0,< 1 year,M,44026,1796326
1968.0,< 1 year,T,76263,3501564
1968.0,1-4 years,F,5761,7140000
1968.0,1-4 years,M,7277,7407000
1968.0,1-4 years,T,13038,14547000
1968.0,5-9 years,F,3674,10024000
1968.0,5-9 years,M,5401,10390000
1968.0,5-9 years,T,9075,20414000
1968.0,10-14 years,F,3016,9990000
1968.0,10-14 years,M,5451,10367000
1968.0,10-14 years,T,8467,20357000
1968.0,15-19 years,F,5436,9013000
1968.0,15-19 years,M,14231,9177000
1968.0,15-19 years,T,19667,18190000
1968.0,20-24 years,F,5751,7847000
1968.0,20-24 years,M,15722,7208000
1968.0,20-24 years,T,21473,15055000
1968.0,25-34 years,F,12448,12114000
1968.0,25-34 years,M,24801,11588000
1968.0,25-34 years,T,37249,23702000
1968.0,35-44 years,F,28880,12123000
1968.0,35-44 years,M,46550,11465000
1968.0,35-44 years,T,75430,23588000
1968.0,45-54 years,F,62056,11733000
1968.0,45-54 years,M,108706,10995000
1968.0,45-54 years,T,170762,22728000
1968.0,55-64 years,F,106987,9500000
1968.0,55-64 years,M,201289,8587000
1968.0,55-64 years,T,308276,18087000
1968.0,65-74 years,F,182610,6812000
1968.0,65-74 years,M,270936,5366000
1968.0,65-74 years,T,453546,12178000
1968.0,75-84 years,F,246331,3530000
1968.0,75-84 years,M,246799,2416000
1968.0,75-84 years,T,493130,5946000
1968.0,85+ years,F,147400,800000
1968.0,85+ years,M,95621,440000
1968.0,85+ years,T,243021,1240000
1968.0,Not Stated,F,275,Not Applicable
1968.0,Not Stated,M,410,Not Applicable
1968.0,Not Stated,T,685,Not Applicable
1969.0,< 1 year,F,31793,1753634
1969.0,< 1 year,M,43280,1846572
1969.0,< 1 year,T,75073,3600206
1969.0,1-4 years,F,5498,6852000
1969.0,1-4 years,M,6792,7111000
1969.0,1-4 years,T,12290,13963000
1969.0,5-9 years,F,3566,9932000
1969.0,5-9 years,M,5335,10310000
1969.0,5-9 years,T,8901,20242000
1969.0,10-14 years,F,3135,10128000
1969.0,10-14 years,M,5395,10513000
1969.0,10-14 years,T,8530,20641000
1969.0,15-19 years,F,5825,9234000
1969.0,15-19 years,M,15316,9387000
1969.0,15-19 years,T,21141,18621000
1969.0,20-24 years,F,6093,8187000
1969.0,20-24 years,M,17188,7580000
1969.0,20-24 years,T,23281,15767000
1969.0,25-34 years,F,12789,12464000
1969.0,25-34 years,M,25935,11942000
1969.0,25-34 years,T,38724,24406000
1969.0,35-44 years,F,28316,11947000
1969.0,35-44 years,M,46394,11295000
1969.0,35-44 years,T,74710,23242000
1969.0,45-54 years,F,61076,11906000
1969.0,45-54 years,M,107548,11112000
1969.0,45-54 years,T,168624,23018000
1969.0,55-64 years,F,105939,9678000
1969.0,55-64 years,M,199565,8711000
1969.0,55-64 years,T,305504,18389000
1969.0,65-74 years,F,180578,6905000
1969.0,65-74 years,M,266286,5396000
1969.0,65-74 years,T,446864,12301000
1969.0,75-84 years,F,246015,3631000
1969.0,75-84 years,M,245666,2440000
1969.0,75-84 years,T,491681,6071000
1969.0,85+ years,F,150182,848000
1969.0,85+ years,M,95819,459000
1969.0,85+ years,T,246001,1307000
1969.0,Not Stated,F,259,Not Applicable
1969.0,Not Stated,M,407,Not Applicable
1969.0,Not Stated,T,666,Not Applicable
1970.0,< 1 year,F,31820,1816008
1970.0,< 1 year,M,42847,1915378
1970.0,< 1 year,T,74667,3731386
1970.0,1-4 years,F,5054,6701476
1970.0,1-4 years,M,6494,6967584
1970.0,1-4 years,T,11548,13669060
1970.0,5-9 years,F,3347,9787751
1970.0,5-9 years,M,5054,10168496
1970.0,5-9 years,T,8401,19956247
1970.0,10-14 years,F,3009,10198731
1970.0,10-14 years,M,5437,10590737
1970.0,10-14 years,T,8446,20789468
1970.0,15-19 years,F,5822,9436501
1970.0,15-19 years,M,15207,9633847
1970.0,15-19 years,T,21029,19070348
1970.0,20-24 years,F,6363,8453752
1970.0,20-24 years,M,17869,7917269
1970.0,20-24 years,T,24232,16371021
1970.0,25-34 years,F,12894,12690072
1970.0,25-34 years,M,26299,12217357
1970.0,25-34 years,T,39193,24907429
1970.0,35-44 years,F,27399,11856569
1970.0,35-44 years,M,45218,11231236
1970.0,35-44 years,T,72617,23087805
1970.0,45-54 years,F,62176,12020707
1970.0,45-54 years,M,107341,11199250
1970.0,45-54 years,T,169517,23219957
1970.0,55-64 years,F,107662,9797019
1970.0,55-64 years,M,200711,8792793
1970.0,55-64 years,T,308373,18589812
1970.0,65-74 years,F,180536,6998372
1970.0,65-74 years,M,264995,5437084
1970.0,65-74 years,T,445531,12435456
1970.0,75-84 years,F,245930,3682900
1970.0,75-84 years,M,243873,2436245
1970.0,75-84 years,T,489803,6119145
1970.0,85+ years,F,150295,968522
1970.0,85+ years,M,96660,542379
1970.0,85+ years,T,246955,1510901
1970.0,Not Stated,F,246,Not Applicable
1970.0,Not Stated,M,473,Not Applicable
1970.0,Not Stated,T,719,Not Applicable
1971.0,< 1 year,F,28883,1733060
1971.0,< 1 year,M,39098,1822910
1971.0,< 1 year,T,67981,3555970
1971.0,1-4 years,F,4934,6689000
1971.0,1-4 years,M,6297,6954000
1971.0,1-4 years,T,11231,13643000
1971.0,5-9 years,F,3304,9510000
1971.0,5-9 years,M,4851,9886000
1971.0,5-9 years,T,8155,19396000
1971.0,10-14 years,F,3108,10346000
1971.0,10-14 years,M,5317,10749000
1971.0,10-14 years,T,8425,21095000
1971.0,15-19 years,F,6048,9740000
1971.0,15-19 years,M,15696,9975000
1971.0,15-19 years,T,21744,19715000
1971.0,20-24 years,F,6563,9027000
1971.0,20-24 years,M,18889,8676000
1971.0,20-24 years,T,25452,17703000
1971.0,25-34 years,F,13141,13097000
1971.0,25-34 years,M,26991,12673000
1971.0,25-34 years,T,40132,25770000
1971.0,35-44 years,F,26609,11727000
1971.0,35-44 years,M,43714,11151000
1971.0,35-44 years,T,70323,22878000
1971.0,45-54 years,F,61341,12179000
1971.0,45-54 years,M,105558,11325000
1971.0,45-54 years,T,166899,23504000
1971.0,55-64 years,F,107893,10013000
1971.0,55-64 years,M,198776,8949000
1971.0,55-64 years,T,306669,18962000
1971.0,65-74 years,F,178278,7146000
1971.0,65-74 years,M,263495,5537000
1971.0,65-74 years,T,441773,12683000
1971.0,75-84 years,F,250091,3879000
1971.0,75-84 years,M,246687,2512000
1971.0,75-84 years,T,496778,6391000
1971.0,85+ years,F,159725,977000
1971.0,85+ years,M,101497,510000
1971.0,85+ years,T,261222,1487000
1971.0,Not Stated,F,292,Not Applicable
1971.0,Not Stated,M,466,Not Applicable
1971.0,Not Stated,T,758,Not Applicable
1972.0,< 1 year,F,25472,1588484
1972.0,< 1 year,M,34710,1669927
1972.0,< 1 year,T,60182,3258411
1972.0,1-4 years,F,4800,6757000
1972.0,1-4 years,M,6294,7039000
1972.0,1-4 years,T,11094,13796000
1972.0,5-9 years,F,3202,9241000
1972.0,5-9 years,M,4482,9606000
1972.0,5-9 years,T,7684,18847000
1972.0,10-14 years,F,3102,10347000
1972.0,10-14 years,M,5418,10752000
1972.0,10-14 years,T,8520,21099000
1972.0,15-19 years,F,6092,9988000
1972.0,15-19 years,M,16226,10236000
1972.0,15-19 years,T,22318,20224000
1972.0,20-24 years,F,6620,9021000
1972.0,20-24 years,M,19400,8845000
1972.0,20-24 years,T,26020,17866000
1972.0,25-34 years,F,13482,13920000
1972.0,25-34 years,M,28426,13543000
1972.0,25-34 years,T,41908,27463000
1972.0,35-44 years,F,25882,11659000
1972.0,35-44 years,M,42910,11120000
1972.0,35-44 years,T,68792,22779000
1972.0,45-54 years,F,60878,12271000
1972.0,45-54 years,M,107344,11403000
1972.0,45-54 years,T,168222,23674000
1972.0,55-64 years,F,108966,10160000
1972.0,55-64 years,M,202556,9051000
1972.0,55-64 years,T,311522,19211000
1972.0,65-74 years,F,184126,7295000
1972.0,65-74 years,M,270884,5627000
1972.0,65-74 years,T,455010,12922000
1972.0,75-84 years,F,257912,4006000
1972.0,75-84 years,M,253708,2550000
1972.0,75-84 years,T,511620,6556000
1972.0,85+ years,F,167048,1020000
1972.0,85+ years,M,103466,522000
1972.0,85+ years,T,270514,1542000
1972.0,Not Stated,F,164,Not Applicable
1972.0,Not Stated,M,374,Not Applicable
1972.0,Not Stated,T,538,Not Applicable
1973.0,< 1 year,F,23595,1528639
