"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1979","1979","< 1 year","1","Female","F",19685,1703131,1155.812
,"1979","1979","< 1 year","1","Male","M",25980,1791267,1450.370
"Total","1979","1979","< 1 year","1",,,45665,3494398,1306.806
,"1979","1979","1-4 years","1-4","Female","F",3517,6174000,56.965
,"1979","1979","1-4 years","1-4","Male","M",4591,6463000,71.035
"Total","1979","1979","1-4 years","1-4",,,8108,12637000,64.161
,"1979","1979","5-9 years","5-9","Female","F",2099,8286000,25.332
,"1979","1979","5-9 years","5-9","Male","M",3179,8661000,36.705
"Total","1979","1979","5-9 years","5-9",,,5278,16947000,31.144
,"1979","1979","10-14 years","10-14","Female","F",2105,9031000,23.309
,"1979","1979","10-14 years","10-14","Male","M",3763,9414000,39.972
"Total","1979","1979","10-14 years","10-14",,,5868,18445000,31.813
,"1979","1979","15-19 years","15-19","Female","F",5538,10498000,52.753
,"1979","1979","15-19 years","15-19","Male","M",15547,10850000,143.290
"Total","1979","1979","15-19 years","15-19",,,21085,21348000,98.768
,"1979","1979","20-24 years","20-24","Female","F",6580,10541000,62.423
,"1979","1979","20-24 years","20-24","Male","M",21054,10555000,199.469
"Total","1979","1979","20-24 years","20-24",,,27634,21096000,130.992
,"1979","1979","25-34 years","25-34","Female","F",13595,18176000,74.796
,"1979","1979","25-34 years","25-34","Male","M",34346,17862000,192.285
"Total","1979","1979","25-34 years","25-34",,,47941,36038000,133.029
,"1979","1979","35-44 years","35-44","Female","F",20666,12801000,161.441
,"1979","1979","35-44 years","35-44","Male","M",37057,12313000,300.958
"Total","1979","1979","35-44 years","35-44",,,57723,25114000,229.844
,"1979","1979","45-54 years","45-54","Female","F",49062,11868000,413.397
,"1979","1979","45-54 years","45-54","Male","M",86203,11067000,778.919
"Total","1979","1979","45-54 years","45-54",,,135265,22935000,589.775
,"1979","1979","55-64 years","55-64","Female","F",104678,11407000,917.665
,"1979","1979","55-64 years","55-64","Male","M",182288,10041000,1815.437
"Total","1979","1979","55-64 years","55-64",,,286966,21448000,1337.962
,"1979","1979","65-74 years","65-74","Female","F",180084,8690000,2072.313
,"1979","1979","65-74 years","65-74","Male","M",269171,6648000,4048.902
"Total","1979","1979","65-74 years","65-74",,,449255,15338000,2929.032
,"1979","1979","75-84 years","75-84","Female","F",251360,4769000,5270.707
,"1979","1979","75-84 years","75-84","Male","M",242316,2829000,8565.429
"Total","1979","1979","75-84 years","75-84",,,493676,7598000,6497.447
,"1979","1979","85+ years","85+","Female","F",209719,1521000,13788.231
,"1979","1979","85+ years","85+","Male","M",119006,676000,17604.438
"Total","1979","1979","85+ years","85+",,,328725,2197000,14962.449
,"1979","1979","Not Stated","NS","Female","F",194,Not Applicable,Not Applicable
,"1979","1979","Not Stated","NS","Male","M",458,Not Applicable,Not Applicable
"Total","1979","1979","Not Stated","NS",,,652,Not Applicable,Not Applicable
"Total","1979","1979",,,,,1913841,224635398,851.977
,"1980","1980","< 1 year","1","Female","F",19722,1759642,1120.796
,"1980","1980","< 1 year","1","Male","M",25804,1852616,1392.841
"Total","1980","1980","< 1 year","1",,,45526,3612258,1260.320
,"1980","1980","1-4 years","1-4","Female","F",3426,6258891,54.738
