"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2021","2021","< 1 year","0","Female","F",9011,1742991,516.985,506.310,527.659
,"2021","2021","< 1 year","0","Male","M",10909,1821502,598.901,587.663,610.140
"Total","2021","2021","< 1 year","0",,,19920,3564493,558.845,551.085,566.606
,"2021","2021","1 year","1","Female","F",703,1809581,38.849,35.977,41.721
,"2021","2021","1 year","1","Male","M",787,1893355,41.566,38.662,44.471
"Total","2021","2021","1 year","1",,,1490,3702936,40.238,38.195,42.282
,"2021","2021","2 years","2","Female","F",431,1843468,23.380,21.173,25.587
,"2021","2021","2 years","2","Male","M",529,1923960,27.495,25.152,29.838
"Total","2021","2021","2 years","2",,,960,3767428,25.482,23.870,27.094
,"2021","2021","3 years","3","Female","F",297,1885193,15.754,13.963,17.546
,"2021","2021","3 years","3","Male","M",440,1971550,22.317,20.232,24.403
"Total","2021","2021","3 years","3",,,737,3856743,19.109,17.730,20.489
,"2021","2021","4 years","4","Female","F",280,1921753,14.570,12.863,16.277
,"2021","2021","4 years","4","Male","M",349,2013985,17.329,15.511,19.147
"Total","2021","2021","4 years","4",,,629,3935738,15.982,14.733,17.231
,"2021","2021","5 years","5","Female","F",228,1975431,11.542,10.044,13.040
,"2021","2021","5 years","5","Male","M",312,2064722,15.111,13.434,16.788
"Total","2021","2021","5 years","5",,,540,4040153,13.366,12.238,14.493
,"2021","2021","6 years","6","Female","F",216,1994218,10.831,9.387,12.276
,"2021","2021","6 years","6","Male","M",301,2082411,14.454,12.821,16.087
"Total","2021","2021","6 years","6",,,517,4076629,12.682,11.589,13.775
,"2021","2021","7 years","7","Female","F",206,1983343,10.387,8.968,11.805
,"2021","2021","7 years","7","Male","M",264,2081253,12.685,11.155,14.215
"Total","2021","2021","7 years","7",,,470,4064596,11.563,10.518,12.609
,"2021","2021","8 years","8","Female","F",194,1981053,9.793,8.415,11.171
,"2021","2021","8 years","8","Male","M",243,2070502,11.736,10.261,13.212
"Total","2021","2021","8 years","8",,,437,4051555,10.786,9.775,11.797
,"2021","2021","9 years","9","Female","F",187,1981345,9.438,8.085,10.791
,"2021","2021","9 years","9","Male","M",255,2077270,12.276,10.769,13.782
"Total","2021","2021","9 years","9",,,442,4058615,10.890,9.875,11.906
,"2021","2021","10 years","10","Female","F",204,1998492,10.208,8.807,11.608
,"2021","2021","10 years","10","Male","M",290,2104997,13.777,12.191,15.362
"Total","2021","2021","10 years","10",,,494,4103489,12.039,10.977,13.100
,"2021","2021","11 years","11","Female","F",228,2043610,11.157,9.709,12.605
,"2021","2021","11 years","11","Male","M",295,2145796,13.748,12.179,15.317
"Total","2021","2021","11 years","11",,,523,4189406,12.484,11.414,13.554
,"2021","2021","12 years","12","Female","F",263,2088339,12.594,11.072,14.116
,"2021","2021","12 years","12","Male","M",340,2190976,15.518,13.869,17.168
"Total","2021","2021","12 years","12",,,603,4279315,14.091,12.966,15.216
,"2021","2021","13 years","13","Female","F",347,2167137,16.012,14.327,17.697
,"2021","2021","13 years","13","Male","M",508,2275444,22.325,20.384,24.267
"Total","2021","2021","13 years","13",,,855,4442581,19.246,17.956,20.536
,"2021","2021","14 years","14","Female","F",408,2161983,18.872,17.040,20.703
,"2021","2021","14 years","14","Male","M",686,2271010,30.207,27.946,32.467
"Total","2021","2021","14 years","14",,,1094,4432993,24.679,23.216,26.141
,"2021","2021","15 years","15","Female","F",461,2127399,21.670,19.692,23.648
,"2021","2021","15 years","15","Male","M",944,2228527,42.360,39.658,45.062
"Total","2021","2021","15 years","15",,,1405,4355926,32.255,30.568,33.942
,"2021","2021","16 years","16","Female","F",608,2105977,28.870,26.575,31.165
,"2021","2021","16 years","16","Male","M",1336,2204485,60.604,57.354,63.853
"Total","2021","2021","16 years","16",,,1944,4310462,45.100,43.095,47.104
,"2021","2021","17 years","17","Female","F",725,2118503,34.222,31.731,36.713
,"2021","2021","17 years","17","Male","M",1869,2214872,84.384,80.558,88.210
"Total","2021","2021","17 years","17",,,2594,4333375,59.861,57.557,62.165
,"2021","2021","18 years","18","Female","F",948,2099535,45.153,42.279,48.027
,"2021","2021","18 years","18","Male","M",2523,2193245,115.035,110.546,119.524
"Total","2021","2021","18 years","18",,,3471,4292780,80.857,78.167,83.547
,"2021","2021","19 years","19","Female","F",961,2090276,45.975,43.068,48.882
,"2021","2021","19 years","19","Male","M",3032,2181847,138.965,134.018,143.911
"Total","2021","2021","19 years","19",,,3993,4272123,93.466,90.567,96.366
,"2021","2021","20 years","20","Female","F",1168,2127613,54.897,51.749,58.046
,"2021","2021","20 years","20","Male","M",3095,2219066,139.473,134.559,144.387
"Total","2021","2021","20 years","20",,,4263,4346679,98.075,95.131,101.019
,"2021","2021","21 years","21","Female","F",1251,2128553,58.772,55.515,62.029
,"2021","2021","21 years","21","Male","M",3527,2218825,158.958,153.712,164.204
"Total","2021","2021","21 years","21",,,4778,4347378,109.905,106.789,113.022
,"2021","2021","22 years","22","Female","F",1319,2096897,62.902,59.508,66.297
,"2021","2021","22 years","22","Male","M",3747,2182026,171.721,166.223,177.220
"Total","2021","2021","22 years","22",,,5066,4278923,118.394,115.134,121.655
,"2021","2021","23 years","23","Female","F",1422,2094961,67.877,64.349,71.405
,"2021","2021","23 years","23","Male","M",3790,2176169,174.159,168.615,179.704
"Total","2021","2021","23 years","23",,,5212,4271130,122.029,118.716,125.342
,"2021","2021","24 years","24","Female","F",1533,2102735,72.905,69.255,76.555
,"2021","2021","24 years","24","Male","M",4048,2177152,185.931,180.203,191.659
"Total","2021","2021","24 years","24",,,5581,4279887,130.401,126.979,133.822
,"2021","2021","25 years","25","Female","F",1618,2115712,76.475,72.749,80.202
,"2021","2021","25 years","25","Male","M",4410,2193434,201.055,195.121,206.989
"Total","2021","2021","25 years","25",,,6028,4309146,139.889,136.357,143.420
,"2021","2021","26 years","26","Female","F",1793,2155774,83.172,79.322,87.022
,"2021","2021","26 years","26","Male","M",4684,2231579,209.896,203.885,215.907
"Total","2021","2021","26 years","26",,,6477,4387353,147.629,144.034,151.224
,"2021","2021","27 years","27","Female","F",1940,2202305,88.090,84.170,92.009
,"2021","2021","27 years","27","Male","M",5021,2278881,220.327,214.233,226.422
"Total","2021","2021","27 years","27",,,6961,4481186,155.338,151.689,158.988
,"2021","2021","28 years","28","Female","F",2106,2240275,94.006,89.991,98.021
,"2021","2021","28 years","28","Male","M",5419,2314500,234.133,227.899,240.367
"Total","2021","2021","28 years","28",,,7525,4554775,165.211,161.478,168.944
,"2021","2021","29 years","29","Female","F",2345,2299353,101.985,97.857,106.113
,"2021","2021","29 years","29","Male","M",5859,2360664,248.193,241.838,254.548
"Total","2021","2021","29 years","29",,,8204,4660017,176.051,172.241,179.860
,"2021","2021","30 years","30","Female","F",2566,2339946,109.661,105.418,113.904
,"2021","2021","30 years","30","Male","M",6180,2390865,258.484,252.039,264.928
"Total","2021","2021","30 years","30",,,8746,4730811,184.873,180.999,188.748
,"2021","2021","31 years","31","Female","F",2746,2349670,116.867,112.496,121.239
,"2021","2021","31 years","31","Male","M",6441,2395705,268.856,262.290,275.422
"Total","2021","2021","31 years","31",,,9187,4745375,193.599,189.640,197.558
,"2021","2021","32 years","32","Female","F",2925,2281836,128.186,123.541,132.832
,"2021","2021","32 years","32","Male","M",6552,2330455,281.147,274.339,287.955
"Total","2021","2021","32 years","32",,,9477,4612291,205.473,201.336,209.610
,"2021","2021","33 years","33","Female","F",3113,2242827,138.798,133.922,143.674
,"2021","2021","33 years","33","Male","M",6614,2288929,288.956,281.992,295.920
"Total","2021","2021","33 years","33",,,9727,4531756,214.641,210.375,218.906
,"2021","2021","34 years","34","Female","F",3212,2214045,145.074,140.057,150.091
,"2021","2021","34 years","34","Male","M",6730,2268350,296.691,289.603,303.780
"Total","2021","2021","34 years","34",,,9942,4482395,221.801,217.441,226.161
,"2021","2021","35 years","35","Female","F",3394,2217584,153.049,147.900,158.199
,"2021","2021","35 years","35","Male","M",7065,2275283,310.511,303.270,317.751
"Total","2021","2021","35 years","35",,,10459,4492867,232.791,228.330,237.253
,"2021","2021","36 years","36","Female","F",3566,2219461,160.670,155.396,165.943
,"2021","2021","36 years","36","Male","M",7211,2270793,317.554,310.225,324.884
"Total","2021","2021","36 years","36",,,10777,4490254,240.009,235.477,244.540
,"2021","2021","37 years","37","Female","F",3711,2176987,170.465,164.980,175.950
,"2021","2021","37 years","37","Male","M",7278,2220050,327.830,320.299,335.362
"Total","2021","2021","37 years","37",,,10989,4397037,249.918,245.246,254.591
,"2021","2021","38 years","38","Female","F",3998,2211320,180.797,175.193,186.401
,"2021","2021","38 years","38","Male","M",7787,2251810,345.811,338.130,353.492
"Total","2021","2021","38 years","38",,,11785,4463130,264.052,259.285,268.820
,"2021","2021","39 years","39","Female","F",4254,2210133,192.477,186.693,198.261
,"2021","2021","39 years","39","Male","M",8139,2245897,362.394,354.521,370.267
"Total","2021","2021","39 years","39",,,12393,4456030,278.118,273.221,283.014
,"2021","2021","40 years","40","Female","F",4474,2180066,205.223,199.210,211.237
,"2021","2021","40 years","40","Male","M",8394,2211730,379.522,371.403,387.641
"Total","2021","2021","40 years","40",,,12868,4391796,293.001,287.938,298.063
,"2021","2021","41 years","41","Female","F",4687,2172448,215.747,209.571,221.924
,"2021","2021","41 years","41","Male","M",8743,2200412,397.335,389.006,405.663
"Total","2021","2021","41 years","41",,,13430,4372860,307.122,301.927,312.316
,"2021","2021","42 years","42","Female","F",4986,2089932,238.572,231.950,245.195
,"2021","2021","42 years","42","Male","M",8755,2103818,416.148,407.431,424.865
"Total","2021","2021","42 years","42",,,13741,4193750,327.654,322.176,333.133
,"2021","2021","43 years","43","Female","F",5021,2044334,245.606,238.812,252.399
,"2021","2021","43 years","43","Male","M",8992,2054668,437.638,428.592,446.683
"Total","2021","2021","43 years","43",,,14013,4099002,341.864,336.203,347.524
